Country Name,Country Code,Year,Population
Uganda,UGA,1960,7640973.0
Ukraine,UKR,1960,42824093.0
Upper middle income,UMC,1960,1149653372.0
Uruguay,URY,1960,2529957.0
United States,USA,1960,180671000.0
Uzbekistan,UZB,1960,8209109.0
St. Vincent and the Grenadines,VCT,1960,84388.0
"Venezuela, RB",VEN,1960,8160090.0
British Virgin Islands,VGB,1960,7950.0
Virgin Islands (U.S.),VIR,1960,32500.0
Viet Nam,VNM,1960,32531933.0
Vanuatu,VUT,1960,64431.0
World,WLD,1960,3021512598.0
Samoa,WSM,1960,112490.0
Kosovo,XKX,1960,984846.0
"Yemen, Rep.",YEM,1960,5532301.0
South Africa,ZAF,1960,16440172.0
Zambia,ZMB,1960,3153729.0
Zimbabwe,ZWE,1960,3809389.0
Aruba,ABW,1961,55578.0
Africa Eastern and Southern,AFE,1961,133534923.0
Afghanistan,AFG,1961,9214083.0
Africa Western and Central,AFW,1961,99706674.0
Angola,AGO,1961,5301583.0
Albania,ALB,1961,1659800.0
Andorra,AND,1961,10283.0
Arab World,ARB,1961,93931683.0
United Arab Emirates,ARE,1961,137989.0
Argentina,ARG,1961,20726276.0
Armenia,ARM,1961,1927484.0
American Samoa,ASM,1961,20666.0
Antigua and Barbuda,ATG,1961,56540.0
Australia,AUS,1961,10483000.0
Austria,AUT,1961,7086299.0
Azerbaijan,AZE,1961,4045750.0
Burundi,BDI,1961,2835119.0
Belgium,BEL,1961,9183948.0
Benin,BEN,1961,2559223.0
Burkina Faso,BFA,1961,4848224.0
Bangladesh,BGD,1961,53310348.0
Bulgaria,BGR,1961,7943118.0
Bahrain,BHR,1961,172346.0
"Bahamas, The",BHS,1961,122197.0
Bosnia and Herzegovina,BIH,1961,3348035.0
Belarus,BLR,1961,8271216.0
Belize,BLZ,1961,93632.0
Bermuda,BMU,1961,43123.0
Bolivia,BOL,1961,3778731.0
Brazil,BRA,1961,74605447.0
Barbados,BRB,1961,233148.0
Brunei Darussalam,BRN,1961,92517.0
Bhutan,BTN,1961,230602.0
Botswana,BWA,1961,527942.0
Central African Republic,CAF,1961,1734580.0
Canada,CAN,1961,18271000.0
Central Europe and the Baltics,CEB,1961,92231375.0
Switzerland,CHE,1961,5434294.0
Channel Islands,CHI,1961,111782.0
Chile,CHL,1961,8324802.0
China,CHN,1961,660330000.0
Cote d'Ivoire,CIV,1961,3810151.0
Cameroon,CMR,1961,5239273.0
"Congo, Dem. Rep.",COD,1961,15662374.0
"Congo, Rep.",COG,1961,1084389.0
Colombia,COL,1961,16095203.0
Comoros,COM,1961,201201.0
Cabo Verde,CPV,1961,215087.0
Costa Rica,CRI,1961,1377920.0
Caribbean small states,CSS,1961,2614258.0
Cuba,CUB,1961,7387117.0
Curacao,CUW,1961,126125.0
Cayman Islands,CYM,1961,8601.0
Cyprus,CYP,1961,595514.0
Czechia,CZE,1961,9586651.0
Germany,DEU,1961,73377632.0
Djibouti,DJI,1961,89390.0
Dominica,DMA,1961,60209.0
Denmark,DNK,1961,4611687.0
Dominican Republic,DOM,1961,3373233.0
Algeria,DZA,1961,11628883.0
East Asia & Pacific (excluding high income),EAP,1961,895534581.0
Early-demographic dividend,EAR,1961,994176841.0
East Asia & Pacific,EAS,1961,1044749888.0
Europe & Central Asia (excluding high income),ECA,1961,131617926.0
Europe & Central Asia,ECS,1961,675548634.0
Ecuador,ECU,1961,4722331.0
"Egypt, Arab Rep.",EGY,1961,27600898.0
Euro area,EMU,1961,272472951.0
Eritrea,ERI,1961,995573.0
Spain,ESP,1961,30739250.0
Estonia,EST,1961,1225077.0
Ethiopia,ETH,1961,21906102.0
European Union,EUU,1961,360681613.0
Fragile and conflict affected situations,FCS,1961,250748792.0
Finland,FIN,1961,4461005.0
Fiji,FJI,1961,417406.0
France,FRA,1961,47905982.0
Faroe Islands,FRO,1961,34557.0
"Micronesia, Fed. Sts.",FSM,1961,44610.0
Gabon,GAB,1961,518266.0
United Kingdom,GBR,1961,52800000.0
Georgia,GEO,1961,3703600.0
Ghana,GHA,1961,7162667.0
Gibraltar,GIB,1961,21872.0
Guinea,GIN,1961,3619551.0
"Gambia, The",GMB,1961,408930.0
Guinea-Bissau,GNB,1961,582532.0
Equatorial Guinea,GNQ,1961,274896.0
Greece,GRC,1961,8398050.0
Grenada,GRD,1961,95335.0
Greenland,GRL,1961,33700.0
Guatemala,GTM,1961,4186201.0
Guam,GUM,1961,71311.0
Guyana,GUY,1961,582568.0
High income,HIC,1961,919449343.0
"Hong Kong SAR, China",HKG,1961,3168100.0
Honduras,HND,1961,2121242.0
Heavily indebted poor countries (HIPC),HPC,1961,167634887.0
Croatia,HRV,1961,4167292.0
Haiti,HTI,1961,3929030.0
Hungary,HUN,1961,10027958.0
IBRD only,IBD,1961,1915613080.0
IDA & IBRD total,IBT,1961,2321079191.0
IDA total,IDA,1961,405466111.0
IDA blend,IDB,1961,127688784.0
Indonesia,IDN,1961,90791249.0
IDA only,IDX,1961,277777327.0
Isle of Man,IMN,1961,48451.0
India,IND,1961,446564729.0
Ireland,IRL,1961,2824400.0
"Iran, Islamic Rep.",IRN,1961,22125726.0
Iraq,IRQ,1961,7194553.0
Iceland,ISL,1961,179029.0
Israel,ISR,1961,2185000.0
Italy,ITA,1961,50536350.0
Jamaica,JAM,1961,1673261.0
Jordan,JOR,1961,897591.0
Japan,JPN,1961,94055000.0
Kazakhstan,KAZ,1961,9742085.0
Kenya,KEN,1961,7987770.0
Kyrgyz Republic,KGZ,1961,2255900.0
Cambodia,KHM,1961,5571168.0
Kiribati,KIR,1961,48323.0
St. Kitts and Nevis,KNA,1961,55334.0
"Korea, Rep.",KOR,1961,25765673.0
Kuwait,KWT,1961,345945.0
Latin America & Caribbean (excluding high income),LAC,1961,198298501.0
Lao PDR,LAO,1961,2169796.0
Lebanon,LBN,1961,1850084.0
Liberia,LBR,1961,1167717.0
Libya,LBY,1961,1555699.0
St. Lucia,LCA,1961,93490.0
Latin America & Caribbean,LCN,1961,224737321.0
Least developed countries: UN classification,LDC,1961,250984924.0
Low income,LIC,1961,117449222.0
Liechtenstein,LIE,1961,16877.0
Sri Lanka,LKA,1961,9899372.0
Lower middle income,LMC,1961,839921567.0
Low & middle income,LMY,1961,2112956756.0
Lesotho,LSO,1961,758824.0
Late-demographic dividend,LTE,1961,1096959453.0
Lithuania,LTU,1961,2823550.0
Luxembourg,LUX,1961,316845.0
Latvia,LVA,1961,2152681.0
"Macao SAR, China",MAC,1961,173323.0
St. Martin (French part),MAF,1961,4386.0
Morocco,MAR,1961,11931085.0
Monaco,MCO,1961,21901.0
Moldova,MDA,1961,2103327.0
Madagascar,MDG,1961,5246158.0
Maldives,MDV,1961,93450.0
"Middle East, North Africa, Afghanistan & Pakistan",MEA,1961,162068656.0
Mexico,MEX,1961,37890118.0
Marshall Islands,MHL,1961,15219.0
Middle income,MIC,1961,1995507534.0
North Macedonia,MKD,1961,1455171.0
Mali,MLI,1961,5482283.0
Malta,MLT,1961,325250.0
Myanmar,MMR,1961,22210581.0
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,1961,155796245.0
Montenegro,MNE,1961,491140.0
Mongolia,MNG,1961,1009284.0
Northern Mariana Islands,MNP,1961,8995.0
Mozambique,MOZ,1961,6834936.0
Mauritania,MRT,1961,846167.0
Mauritius,MUS,1961,680757.0
Malawi,MWI,1961,3715534.0
Malaysia,MYS,1961,8164443.0
North America,NAC,1961,202005123.0
Namibia,NAM,1961,603067.0
New Caledonia,NCL,1961,82521.0
Niger,NER,1961,3608162.0
Nigeria,NGA,1961,45989310.0
Nicaragua,NIC,1961,1836451.0
Netherlands,NLD,1961,11638712.0
Norway,NOR,1961,3609800.0
Nepal,NPL,1961,10318396.0
Nauru,NRU,1961,4774.0
New Zealand,NZL,1961,2419700.0
OECD members,OED,1961,820795966.0
Oman,OMN,1961,539854.0
Other small states,OSS,1961,5374964.0
Pakistan,PAK,1961,46921277.0
Panama,PAN,1961,1159870.0
Peru,PER,1961,10475123.0
Philippines,PHL,1961,28792621.0
Palau,PLW,1961,9555.0
Papua New Guinea,PNG,1961,2046127.0
Poland,POL,1961,29964000.0
Pre-demographic dividend,PRE,1961,193342737.0
Puerto Rico (US),PRI,1961,2399722.0
"Korea, Dem. People's Rep.",PRK,1961,11990713.0
Portugal,PRT,1961,8929316.0
Paraguay,PRY,1961,1927394.0
West Bank and Gaza,PSE,1961,
Pacific island small states,PSS,1961,938244.0
Post-demographic dividend,PST,1961,765442136.0
French Polynesia,PYF,1961,85434.0
Qatar,QAT,1961,39680.0
Romania,ROU,1961,18555250.0
Russian Federation,RUS,1961,121236000.0
Rwanda,RWA,1961,3106779.0
South Asia,SAS,1961,520416897.0
Saudi Arabia,SAU,1961,2526347.0
Sudan,SDN,1961,8634941.0
Senegal,SEN,1961,3436375.0
Singapore,SGP,1961,1702400.0
Solomon Islands,SLB,1961,142912.0
Sierra Leone,SLE,1961,2304227.0
El Salvador,SLV,1961,2870016.0
San Marino,SMR,1961,15799.0
Somalia,SOM,1961,2952054.0
Serbia,SRB,1961,6689077.0
Sub-Saharan Africa (excluding high income),SSA,1961,211292606.0
South Sudan,SSD,1961,2976724.0
Sub-Saharan Africa,SSF,1961,233241597.0
Small states,SST,1961,8927466.0
Sao Tome and Principe,STP,1961,68707.0
Suriname,SUR,1961,272791.0
Slovak Republic,SVK,1961,4191667.0
Slovenia,SVN,1961,1594131.0
Sweden,SWE,1961,7519998.0
Eswatini,SWZ,1961,353264.0
Sint Maarten (Dutch part),SXM,1961,2970.0
Seychelles,SYC,1961,42889.0
Syrian Arab Republic,SYR,1961,4815466.0
Turks and Caicos Islands,TCA,1961,5622.0
Chad,TCD,1961,3111947.0
East Asia & Pacific (IDA & IBRD countries),TEA,1961,883558197.0
Europe & Central Asia (IDA & IBRD countries),TEC,1961,313483586.0
Togo,TGO,1961,1702717.0
Thailand,THA,1961,27650334.0
Tajikistan,TJK,1961,2181805.0
Turkmenistan,TKM,1961,1695400.0
Latin America & the Caribbean (IDA & IBRD countries),TLA,1961,214582669.0
Timor-Leste,TLS,1961,475291.0
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,1961,155796245.0
Tonga,TON,1961,68037.0
South Asia (IDA & IBRD),TSA,1961,520416897.0
Sub-Saharan Africa (IDA & IBRD countries),TSS,1961,233241597.0
Trinidad and Tobago,TTO,1961,863144.0
Tunisia,TUN,1961,4316278.0
Turkiye,TUR,1961,29119238.0
Tuvalu,TUV,1961,5648.0
Tanzania,TZA,1961,10187886.0
Uganda,UGA,1961,7862217.0
Ukraine,UKR,1961,43399766.0
Upper middle income,UMC,1961,1155585967.0
Uruguay,URY,1961,2562044.0
United States,USA,1961,183691000.0
Uzbekistan,UZB,1961,8517711.0
St. Vincent and the Grenadines,VCT,1961,85870.0
"Venezuela, RB",VEN,1961,8455915.0
British Virgin Islands,VGB,1961,8034.0
Virgin Islands (U.S.),VIR,1961,34300.0
Viet Nam,VNM,1961,33409059.0
Vanuatu,VUT,1961,66264.0
World,WLD,1961,3062768116.0
Samoa,WSM,1961,115496.0
Kosovo,XKX,1961,1011421.0
"Yemen, Rep.",YEM,1961,5655232.0
South Africa,ZAF,1961,16908035.0
Zambia,ZMB,1961,3254086.0
Zimbabwe,ZWE,1961,3930401.0
Aruba,ABW,1962,56320.0
Africa Eastern and Southern,AFE,1962,137171659.0
Afghanistan,AFG,1962,9404406.0
Africa Western and Central,AFW,1962,101854756.0
Angola,AGO,1962,5354310.0
Albania,ALB,1962,1711319.0
Andorra,AND,1962,11086.0
Arab World,ARB,1962,96428599.0
United Arab Emirates,ARE,1962,144946.0
Argentina,ARG,1962,21072538.0
Armenia,ARM,1962,1991689.0
American Samoa,ASM,1962,21298.0
Antigua and Barbuda,ATG,1962,57336.0
Australia,AUS,1962,10742000.0
Austria,AUT,1962,7129864.0
Azerbaijan,AZE,1962,4168150.0
Burundi,BDI,1962,2907943.0
Belgium,BEL,1962,9220578.0
Benin,BEN,1962,2604659.0
Burkina Faso,BFA,1962,4919672.0
Bangladesh,BGD,1962,54881146.0
Bulgaria,BGR,1962,8012946.0
Bahrain,BHR,1962,179349.0
"Bahamas, The",BHS,1962,128493.0
Bosnia and Herzegovina,BIH,1962,3407532.0
Belarus,BLR,1962,8351928.0
Belize,BLZ,1962,96042.0
Bermuda,BMU,1962,44239.0
Bolivia,BOL,1962,3857493.0
Brazil,BRA,1962,76865323.0
Barbados,BRB,1962,235224.0
Brunei Darussalam,BRN,1962,96719.0
Bhutan,BTN,1962,237636.0
Botswana,BWA,1962,540186.0
Central African Republic,CAF,1962,1768115.0
Canada,CAN,1962,18614000.0
Central Europe and the Baltics,CEB,1962,93008589.0
Switzerland,CHE,1962,5573815.0
Channel Islands,CHI,1962,112953.0
Chile,CHL,1962,8497059.0
China,CHN,1962,665770000.0
Cote d'Ivoire,CIV,1962,3956939.0
Cameroon,CMR,1962,5338620.0
"Congo, Dem. Rep.",COD,1962,16075724.0
"Congo, Rep.",COG,1962,1113175.0
Colombia,COL,1962,16599029.0
Comoros,COM,1962,204702.0
Cabo Verde,CPV,1962,221919.0
Costa Rica,CRI,1962,1429445.0
Caribbean small states,CSS,1962,2670187.0
Cuba,CUB,1962,7541098.0
Curacao,CUW,1962,128414.0
Cayman Islands,CYM,1962,8781.0
Cyprus,CYP,1962,601466.0
Czechia,CZE,1962,9624660.0
Germany,DEU,1962,74025784.0
Djibouti,DJI,1962,93283.0
Dominica,DMA,1962,60948.0
Denmark,DNK,1962,4647727.0
Dominican Republic,DOM,1962,3479936.0
Algeria,DZA,1962,11800771.0
East Asia & Pacific (excluding high income),EAP,1962,907473022.0
Early-demographic dividend,EAR,1962,1020130725.0
East Asia & Pacific,EAS,1962,1059216594.0
Europe & Central Asia (excluding high income),ECA,1962,134400419.0
Europe & Central Asia,ECS,1962,683341199.0
Ecuador,ECU,1962,4859269.0
"Egypt, Arab Rep.",EGY,1962,28337013.0
Euro area,EMU,1962,274815182.0
Eritrea,ERI,1962,1019788.0
Spain,ESP,1962,31023366.0
Estonia,EST,1962,1241623.0
Ethiopia,ETH,1962,22465126.0
European Union,EUU,1962,363707978.0
Fragile and conflict affected situations,FCS,1962,256265091.0
Finland,FIN,1962,4491443.0
Fiji,FJI,1962,430536.0
France,FRA,1962,48389516.0
Faroe Islands,FRO,1962,34963.0
"Micronesia, Fed. Sts.",FSM,1962,46218.0
Gabon,GAB,1962,524649.0
United Kingdom,GBR,1962,53250000.0
Georgia,GEO,1962,3760300.0
Ghana,GHA,1962,7337375.0
Gibraltar,GIB,1962,22197.0
Guinea,GIN,1962,3684273.0
"Gambia, The",GMB,1962,420163.0
Guinea-Bissau,GNB,1962,589474.0
Equatorial Guinea,GNQ,1962,280286.0
Greece,GRC,1962,8448233.0
Grenada,GRD,1962,96375.0
Greenland,GRL,1962,35000.0
Guatemala,GTM,1962,4312044.0
Guam,GUM,1962,73192.0
Guyana,GUY,1962,595461.0
High income,HIC,1962,930832910.0
"Hong Kong SAR, China",HKG,1962,3305200.0
Honduras,HND,1962,2182064.0
Heavily indebted poor countries (HIPC),HPC,1962,171771666.0
Croatia,HRV,1962,4196712.0
Haiti,HTI,1962,4001575.0
Hungary,HUN,1962,10060825.0
IBRD only,IBD,1962,1950274734.0
IDA & IBRD total,IBT,1962,2366117598.0
IDA total,IDA,1962,415842864.0
IDA blend,IDB,1962,131049320.0
Indonesia,IDN,1962,93375850.0
IDA only,IDX,1962,284793544.0
Isle of Man,IMN,1962,48688.0
India,IND,1962,457283090.0
Ireland,IRL,1962,2836050.0
"Iran, Islamic Rep.",IRN,1962,22807907.0
Iraq,IRQ,1962,7413875.0
Iceland,ISL,1962,182378.0
Israel,ISR,1962,2293000.0
Italy,ITA,1962,50879450.0
Jamaica,JAM,1962,1696932.0
Jordan,JOR,1962,940554.0
Japan,JPN,1962,94933000.0
Kazakhstan,KAZ,1962,10058928.0
Kenya,KEN,1962,8299308.0
Kyrgyz Republic,KGZ,1962,2333400.0
Cambodia,KHM,1962,5697558.0
Kiribati,KIR,1962,49538.0
St. Kitts and Nevis,KNA,1962,54461.0
"Korea, Rep.",KOR,1962,26513030.0
Kuwait,KWT,1962,384995.0
Latin America & Caribbean (excluding high income),LAC,1962,203914785.0
Lao PDR,LAO,1962,2219910.0
Lebanon,LBN,1962,1909578.0
Liberia,LBR,1962,1197039.0
Libya,LBY,1962,1621960.0
St. Lucia,LCA,1962,94505.0
Latin America & Caribbean,LCN,1962,231038261.0
Least developed countries: UN classification,LDC,1962,257173413.0
Low income,LIC,1962,120247507.0
Liechtenstein,LIE,1962,17443.0
Sri Lanka,LKA,1962,10143754.0
Lower middle income,LMC,1962,861015557.0
Low & middle income,LMY,1962,2155317281.0
Lesotho,LSO,1962,781814.0
Late-demographic dividend,LTE,1962,1111293141.0
Lithuania,LTU,1962,2863350.0
Luxembourg,LUX,1962,320750.0
Latvia,LVA,1962,2181586.0
"Macao SAR, China",MAC,1962,177810.0
St. Martin (French part),MAF,1962,4527.0
Morocco,MAR,1962,12253092.0
Monaco,MCO,1962,22078.0
Moldova,MDA,1962,2147227.0
Madagascar,MDG,1962,5384150.0
Maldives,MDV,1962,95802.0
"Middle East, North Africa, Afghanistan & Pakistan",MEA,1962,166390935.0
Mexico,MEX,1962,39129200.0
Marshall Islands,MHL,1962,15755.0
Middle income,MIC,1962,2035069774.0
North Macedonia,MKD,1962,1471745.0
Mali,MLI,1962,5563917.0
Malta,MLT,1962,323900.0
Myanmar,MMR,1962,22704719.0
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,1962,159849264.0
Montenegro,MNE,1962,502558.0
Mongolia,MNG,1962,1041444.0
Northern Mariana Islands,MNP,1962,9280.0
Mozambique,MOZ,1962,6969364.0
Mauritania,MRT,1962,869184.0
Mauritius,MUS,1962,700349.0
Malawi,MWI,1962,3806307.0
Malaysia,MYS,1962,8380172.0
North America,NAC,1962,205196239.0
